C0085580	DB00436
C0085580	DB01136
C0085580	DB00808
C0085580	DB00590
C0085580	DB01023
C0085580	DB01029
C0085580	DB00661
C0085580	DB00966
C0085580	DB00657
C0085580	DB01115
C0085580	DB00678
C0085580	DB00524
C0151620	DB01119
C0011849	DB01241
C0011849	DB00966
C0011849	DB00191
C0011849	DB00331
C0011849	DB01233
C0011880	DB00331
C0011880	DB01261
C0011881	DB01029
C0011881	DB00678
C0023817	DB01039
C0028754	DB01579
C0028754	DB00937
C0028754	DB01105
C0028754	DB00191
C0028754	DB00331
C2937358	DB01119
C0004096	DB01001
C0004096	DB00277
C0004096	DB00651
C0004096	DB00983
C0004096	DB00744
C0004096	DB00716
C0004096	DB01223
C0004096	DB01291
C0004096	DB00816
C0004096	DB00920
C0004096	DB00549
C0004096	DB00938
C0004096	DB01410
C0015263	DB01001
C0015263	DB00983
C0015263	DB00938
C0038218	DB01001
C0029456	DB00630
C0029456	DB01077
C0029456	DB00399
C0029456	DB00710
C0029456	DB00884
C0029456	DB00481
C0004238	DB00661
C0004238	DB00204
C0004238	DB00187
C0004238	DB00489
C0004238	DB00264
C0004238	DB00571
C0004238	DB00398
C0004238	DB06605
C0002395	DB00843
C0002395	DB01043
C0497327	DB00215
C0497327	DB00734
C0011269	DB00843
C0006277	DB00871
C0008677	DB00277
C0008677	DB01001
C0008677	DB00537
C0008677	DB05488
C0008677	DB00983
C0008677	DB01223
C0008677	DB01165
C0008677	DB00978
C0008677	DB00938
C0008677	DB01656
C0034067	DB00277
C0034067	DB01001
C0034067	DB00983
C0034067	DB01223
C0034067	DB00938
C0034067	DB00871
C0024517	DB01156
C0270458	DB01151
C0019212	DB02638
C0027726	DB00903
C0027726	DB00695
C0027726	DB00531
C0027726	DB00887
C1561643	DB00658
C0022661	DB01029
C0022661	DB00746
C0022661	DB00258
C0022661	DB00678
C0035078	DB00988
C0018802	DB00880
C0018802	DB00310
C0018802	DB01119
C0018802	DB01275
C0018802	DB00695
C0018802	DB00808
C0018802	DB00887
C0018802	DB00774
C0018802	DB00214
C0018802	DB00841
C0018802	DB00235
C0018802	DB00232
C0018802	DB00524
C0018802	DB00457
C0018802	DB00384
C0018802	DB01324
C0018802	DB00727
C0018801	DB00381
C0018801	DB01136
C0018801	DB00796
C0018801	DB00695
C0018801	DB00264
C0003873	DB00712
C0003873	DB00993
C0003873	DB00573
C0003873	DB01050
C0003873	DB00749
C0003873	DB00482
C0003873	DB00580
C0003873	DB00991
C0003873	DB01600
C0003873	DB01399
C0003873	DB00533
C0003873	DB00461
C0003873	DB01097
C0003873	DB01009
C0029408	DB00316
C0029408	DB00573
C0029408	DB00482
C0029408	DB01050
C0029408	DB00712
C0029408	DB00749
C0029408	DB00580
C0029408	DB01399
C0029408	DB01009
C0029408	DB01600
C0029408	DB00533
C0029408	DB00461
C0029408	DB00991
C0038013	DB00712
C0038013	DB00482
C0155626	DB05291
C0155626	DB00281
C0155626	DB00335
C0155626	DB00727
C0155626	DB01113
C0155626	DB00264
C0002965	DB00407
C0002965	DB02351
C0002962	DB00381
C0002962	DB01193
C0002962	DB00661
C0002962	DB00335
C0002962	DB00243
C0002962	DB01020
C0002962	DB01113
C0002962	DB00727
C0002962	DB00960
C0002962	DB00571
C0002962	DB01115
C0002962	DB00264
C0002963	DB00381
C0002963	DB01115
